Año,PIB ,Tasa_participacion ,Presupuesto ,Brecha salarial ,Puestos_direccion,Poblacion_activa,Ingresos_min_hombres,Ingresos_min_mujeres
2015,1213.29447,46.98,24.31,11.9526526,22.5,601222.5,60477.5,46014.5
2016,1112.2335,47.11,25.9,11.7861284,18.2,617285.25,51866.5,46194.75
2017,1190.72148,46.82,27.42,11.2067593,23.9,633219,49102.5,50390.25
2018,1256.30018,47.4,47.92,11.3371818,33.9,634394.5,53312.5,53837.75
2019,1304.1062,49.02,64.66,11.6875677,25.5,654299.75,62372.5,62815.75
2020,1121.06477,45.1,103.52,7.42393605,36.9,495875.75,80038.33,70320.66
2021,1316.56947,48.44,128.35,9.93513888,35,672598.75,83435.25,77593.5
2022,1466.4649,49.97,233.73,10.3610806,32.6,673084.5,122535.25,104610.25
2023,1793.79886,51.44,348.36,11.8927903,38,669507.5,120106.75,112705.5
2024,1852.72289,51.63,419.43,12.4941948,36.2,673630,149275.5,122831.5
